"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2009",-2.0180442359
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.8642823100
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2011",1.6943165266
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.73928080588
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.45925315143
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.5783988678
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2015",2.0328159471
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.5109155005
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2017",1.9643165317
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.4583613490
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.2975200713
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2020",1.1337426060
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2021",1.0646485423
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.1555360787
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1981",3.4775383069
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1982",-3.1883313704
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.6013993971
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1984",5.9093025432
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1985",4.7376344144
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1986",2.1436507417
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1987",4.0722897647
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.4102698505
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1989",2.317318779
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1990",0.16354596448
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1991",-2.0858179214
