"Title",Genre
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Arcade
"Halo 3",Action
"Halo 3",Shooter
"Halo 3",Shooter
"Halo 3",First-Person
"Halo 3",Sci-Fi
"Halo 3",Sci-Fi
"Halo 3",Arcade
"Ninja Gaiden Black",Action Adventure
"Ninja Gaiden Black",Fantasy
"The Elder Scrolls IV: Oblivion",Role-Playing
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",Western-Style
"Street Fighter IV",Action
"Street Fighter IV",Fighting
"Street Fighter IV",Fighting
"Street Fighter IV",3D
"Street Fighter IV",2D
"Street Fighter IV",3D
"Celeste",Action
"Celeste",Platformer
"Celeste",2D
"Super Mario Advance 4: Super Mario Bros. 3",Action
"Super Mario Advance 4: Super Mario Bros. 3",Platformer
"Super Mario Advance 4: Super Mario Bros. 3",2D
"Jet Grind Radio",Action
"Jet Grind Radio",Platformer
"Jet Grind Radio",3D
"Metal Gear Solid",Action Adventure
"Metal Gear Solid",Modern
"Grim Fandango",Adventure
"Grim Fandango",General
"Grim Fandango",General
"Grim Fandango",3D
"Grim Fandango",Third-Person
"Grim Fandango",Fantasy
"Tom Clancy's Splinter Cell Chaos Theory",Action Adventure
"Tom Clancy's Splinter Cell Chaos Theory",Modern
"Burnout 3: Takedown",Driving
"Burnout 3: Takedown",Racing
"Burnout 3: Takedown",Arcade
"Diablo",Role-Playing
"Diablo",Action RPG
"Diablo",Action RPG
"Metal Gear Solid 3: Subsistence",Action Adventure
"Metal Gear Solid 3: Subsistence",Modern
"Call of Duty: Modern Warfare 2",Action
"Call of Duty: Modern Warfare 2",Shooter
"Call of Duty: Modern Warfare 2",Shooter
"Call of Duty: Modern Warfare 2",First-Person
"Call of Duty: Modern Warfare 2",Modern
"Call of Duty: Modern Warfare 2",Modern
"Call of Duty: Modern Warfare 2",Arcade
"Metal Gear Solid 4: Guns of the Patriots",Action Adventure
"Metal Gear Solid 4: Guns of the Patriots",Modern
